x,y
0.0,1601.531617
2.0,1601.2374153182948
4.0,1601.735170394236
6.0,1602.169978236814
8.0,1602.3389171943559
10.0,1602.587888092266
12.0,1602.970834397669
14.0,1603.2294107124728
16.0,1603.3311056640164
18.0,1603.5208521848579
20.0,1604.0220870975943
21.0,1604.3405523972126
22.0,1604.5755725158683
23.0,1604.6529003374194
24.0,1604.7100545017818
25.0,1604.9237921673473
26.0,1605.2368581719043
27.0,1605.4710987572453
28.0,1605.5450200911032
29.0,1605.5737878046398
30.0,1605.6859223400058
31.0,1605.8871648446604
32.0,1606.1022086953194
33.0,1606.2711744755597
34.0,1606.4154562805331
35.0,1606.5774178821393
36.0,1606.7319143108793
37.0,1606.793264567869
38.0,1606.7387345336876
39.0,1606.6665735925415
40.0,1606.6604469290976
41.0,1606.688940139249
42.0,1606.6949246557347
43.0,1606.6637336330923
44.0,1606.6056612838975
45.0,1606.5253134491484
46.0,1606.4141992062077
47.0,1606.2680440028723
48.0,1606.1118519399326
49.0,1605.9774193454434
50.0,1605.8671347249076
51.0,1605.7624975550414
52.0,1605.6477919904892
53.0,1605.515837402146
54.0,1605.3608934349204
55.0,1605.1838182076349
56.0,1604.998815879094
57.0,1604.8192752757825
58.0,1604.6345630716596
59.0,1604.4203846725036
60.0,1604.1690618976718
62.0,1603.6870858678265
64.0,1603.3852967422067
66.0,1603.1591598660434
68.0,1602.6998529158354
70.0,1602.500866088124
72.0,1602.0887741380272
74.0,1601.7754598561319
76.0,1601.7079349349074
78.0,1600.9668015758236
80.0,1601.0
