x y
0.00 1601.53
2.00 1601.24
4.00 1601.74
6.00 1602.17
8.00 1602.34
10.00 1602.59
12.00 1602.97
14.00 1603.23
16.00 1603.33
18.00 1603.52
20.00 1604.02
21.00 1604.34
22.00 1604.58
23.00 1604.65
24.00 1604.71
25.00 1604.92
26.00 1605.24
27.00 1605.47
28.00 1605.55
29.00 1605.57
30.00 1605.69
31.00 1605.89
32.00 1606.10
33.00 1606.27
34.00 1606.42
35.00 1606.58
36.00 1606.73
37.00 1606.79
38.00 1606.74
39.00 1606.67
40.00 1606.66
41.00 1606.69
42.00 1606.69
43.00 1606.66
44.00 1606.61
45.00 1606.53
46.00 1606.41
47.00 1606.27
48.00 1606.11
49.00 1605.98
50.00 1605.87
51.00 1605.76
52.00 1605.65
53.00 1605.52
54.00 1605.36
55.00 1605.18
56.00 1605.00
57.00 1604.82
58.00 1604.63
59.00 1604.42
60.00 1604.17
62.00 1603.69
64.00 1603.39
66.00 1603.16
68.00 1602.70
70.00 1602.50
72.00 1602.09
74.00 1601.78
76.00 1601.71
78.00 1600.97
80.00 1601.00
